Training on cuda
/home/aditya/bude_vla/src/bude_vla/models/text_encoder.py:127: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.transformer = nn.TransformerEncoder(layer, num_layers=depth)
/home/aditya/bude_vla/src/bude_vla/models/action_head.py:80: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.temporal = nn.TransformerEncoder(
Model parameters: 19,296,344
  vision: 3,906,880
  text: 3,290,624
  proprio: 1,804
  soft_prompts: 49,152
  backbone: 6,318,080
  action_head: 5,729,804
  total: 19,296,344
  loaded 135483 frames from /home/aditya/bude_vla/data/pick_v7
  total frames: 135483, batches/epoch: 4233, history_frames: 1
  action_norm lo=[-0.4911216  -0.76121104 -1.2978902 ]  hi=[0.21848157 0.8869459  0.99108195]
step  21000 | loss 3998.572413 | lr 1.88e-04 | 15.5 steps/s | epoch 4
step  21100 | loss 3356.892473 | lr 1.88e-04 | 15.5 steps/s | epoch 4
step  21200 | loss 1475.892686 | lr 1.87e-04 | 15.5 steps/s | epoch 5
step  21300 | loss 943.324543 | lr 1.86e-04 | 15.5 steps/s | epoch 5
step  21400 | loss 3239.522369 | lr 1.85e-04 | 15.5 steps/s | epoch 5
step  21500 | loss 2946.463005 | lr 1.84e-04 | 15.5 steps/s | epoch 5
step  21600 | loss 2478.511807 | lr 1.83e-04 | 15.5 steps/s | epoch 5
step  21700 | loss 6931.043140 | lr 1.82e-04 | 15.5 steps/s | epoch 5
step  21800 | loss 7535.473302 | lr 1.81e-04 | 15.5 steps/s | epoch 5
step  21900 | loss 2978.522210 | lr 1.80e-04 | 15.5 steps/s | epoch 5
step  22000 | loss 1962.972112 | lr 1.79e-04 | 15.5 steps/s | epoch 5
step  22100 | loss 1550.500349 | lr 1.78e-04 | 15.5 steps/s | epoch 5
step  22200 | loss 12456.169879 | lr 1.77e-04 | 15.5 steps/s | epoch 5
step  22300 | loss 2927.188551 | lr 1.77e-04 | 15.5 steps/s | epoch 5
step  22400 | loss 367.645434 | lr 1.76e-04 | 15.5 steps/s | epoch 5
step  22500 | loss 1049.437281 | lr 1.75e-04 | 15.5 steps/s | epoch 5
step  22600 | loss 3464.380906 | lr 1.74e-04 | 15.5 steps/s | epoch 5
step  22700 | loss 2766.605306 | lr 1.73e-04 | 15.5 steps/s | epoch 5
step  22800 | loss 2945.068559 | lr 1.72e-04 | 15.5 steps/s | epoch 5
step  22900 | loss 1806.224153 | lr 1.71e-04 | 15.5 steps/s | epoch 5
step  23000 | loss 1833.894199 | lr 1.70e-04 | 15.5 steps/s | epoch 5
step  23100 | loss 953.152795 | lr 1.69e-04 | 15.5 steps/s | epoch 5
step  23200 | loss 1172.444539 | lr 1.68e-04 | 15.5 steps/s | epoch 5
step  23300 | loss 949.807488 | lr 1.67e-04 | 15.5 steps/s | epoch 5
step  23400 | loss 573.365253 | lr 1.66e-04 | 15.5 steps/s | epoch 5
step  23500 | loss 2051.437542 | lr 1.65e-04 | 15.5 steps/s | epoch 5
step  23600 | loss 45.434580 | lr 1.65e-04 | 15.5 steps/s | epoch 5
step  23700 | loss 4796.908747 | lr 1.64e-04 | 15.5 steps/s | epoch 5
step  23800 | loss 311.466869 | lr 1.63e-04 | 15.5 steps/s | epoch 5
step  23900 | loss 1081.640709 | lr 1.62e-04 | 15.5 steps/s | epoch 5
step  24000 | loss 2732.683690 | lr 1.61e-04 | 15.5 steps/s | epoch 5
step  24100 | loss 873.030139 | lr 1.60e-04 | 15.5 steps/s | epoch 5
step  24200 | loss 1417.458488 | lr 1.59e-04 | 15.5 steps/s | epoch 5
step  24300 | loss 4334.965225 | lr 1.58e-04 | 15.5 steps/s | epoch 5
step  24400 | loss 1703.744500 | lr 1.57e-04 | 15.5 steps/s | epoch 5
step  24500 | loss 1923.766825 | lr 1.56e-04 | 15.5 steps/s | epoch 5
step  24600 | loss 378.987044 | lr 1.55e-04 | 15.5 steps/s | epoch 5
step  24700 | loss 3722.140406 | lr 1.54e-04 | 15.5 steps/s | epoch 5
step  24800 | loss 5740.658668 | lr 1.53e-04 | 15.5 steps/s | epoch 5
step  24900 | loss 3907.112417 | lr 1.52e-04 | 15.5 steps/s | epoch 5
step  25000 | loss 572.900213 | lr 1.52e-04 | 15.5 steps/s | epoch 5
  saved checkpoint: /home/aditya/bude_vla/checkpoints/pick_v7/pick_v7_step_025000.pt
step  25100 | loss 746.467246 | lr 1.51e-04 | 15.5 steps/s | epoch 5
step  25200 | loss 1842.988867 | lr 1.50e-04 | 15.5 steps/s | epoch 5
step  25300 | loss 1805.188421 | lr 1.49e-04 | 15.5 steps/s | epoch 5
step  25400 | loss 2143.339762 | lr 1.48e-04 | 15.5 steps/s | epoch 6
step  25500 | loss 2546.799413 | lr 1.47e-04 | 15.5 steps/s | epoch 6
step  25600 | loss 5072.756038 | lr 1.46e-04 | 15.5 steps/s | epoch 6
step  25700 | loss 489.886026 | lr 1.45e-04 | 15.5 steps/s | epoch 6
step  25800 | loss 6012.575878 | lr 1.44e-04 | 15.5 steps/s | epoch 6
step  25900 | loss 483.249983 | lr 1.43e-04 | 15.4 steps/s | epoch 6
step  26000 | loss 303.853209 | lr 1.42e-04 | 15.4 steps/s | epoch 6
step  26100 | loss 1934.972561 | lr 1.41e-04 | 15.4 steps/s | epoch 6
step  26200 | loss 916.794710 | lr 1.40e-04 | 15.4 steps/s | epoch 6
step  26300 | loss 1658.880614 | lr 1.39e-04 | 15.4 steps/s | epoch 6
step  26400 | loss 1164.737455 | lr 1.38e-04 | 15.4 steps/s | epoch 6
step  26500 | loss 1166.167241 | lr 1.38e-04 | 15.4 steps/s | epoch 6
step  26600 | loss 871.084973 | lr 1.37e-04 | 15.4 steps/s | epoch 6
step  26700 | loss 1073.049461 | lr 1.36e-04 | 15.4 steps/s | epoch 6
step  26800 | loss 3510.920452 | lr 1.35e-04 | 15.4 steps/s | epoch 6
step  26900 | loss 1772.615843 | lr 1.34e-04 | 15.4 steps/s | epoch 6
step  27000 | loss 2407.462244 | lr 1.33e-04 | 15.4 steps/s | epoch 6
step  27100 | loss 182.404134 | lr 1.32e-04 | 15.4 steps/s | epoch 6
step  27200 | loss 348.047537 | lr 1.31e-04 | 15.4 steps/s | epoch 6
step  27300 | loss 2911.858286 | lr 1.30e-04 | 15.4 steps/s | epoch 6
step  27400 | loss 1605.812183 | lr 1.29e-04 | 15.4 steps/s | epoch 6
step  27500 | loss 875.055882 | lr 1.28e-04 | 15.4 steps/s | epoch 6
step  27600 | loss 42.190298 | lr 1.27e-04 | 15.4 steps/s | epoch 6
step  27700 | loss 2455.535379 | lr 1.26e-04 | 15.4 steps/s | epoch 6
step  27800 | loss 3334.799094 | lr 1.26e-04 | 15.4 steps/s | epoch 6
step  27900 | loss 2215.337026 | lr 1.25e-04 | 15.4 steps/s | epoch 6
step  28000 | loss 3479.656105 | lr 1.24e-04 | 15.4 steps/s | epoch 6
step  28100 | loss 1798.056666 | lr 1.23e-04 | 15.4 steps/s | epoch 6
step  28200 | loss 2657.558893 | lr 1.22e-04 | 15.4 steps/s | epoch 6
step  28300 | loss 4698.948638 | lr 1.21e-04 | 15.4 steps/s | epoch 6
step  28400 | loss 2789.007533 | lr 1.20e-04 | 15.4 steps/s | epoch 6
step  28500 | loss 2803.494939 | lr 1.19e-04 | 15.4 steps/s | epoch 6
step  28600 | loss 309.938883 | lr 1.18e-04 | 15.4 steps/s | epoch 6
step  28700 | loss 1037.751364 | lr 1.17e-04 | 15.4 steps/s | epoch 6
step  28800 | loss 1872.330010 | lr 1.16e-04 | 15.3 steps/s | epoch 6
step  28900 | loss 72.338747 | lr 1.15e-04 | 15.3 steps/s | epoch 6
step  29000 | loss 854.151282 | lr 1.15e-04 | 15.3 steps/s | epoch 6
step  29100 | loss 1823.572504 | lr 1.14e-04 | 15.3 steps/s | epoch 6
step  29200 | loss 3405.415560 | lr 1.13e-04 | 15.3 steps/s | epoch 6
